"","Job_Title","Company","Location","Links"
"134","Machine Learning Engineer (Software Developer)","Open Systems, Inc.","Atlanta, GA","/pagead/clk?mo=r&ad=-6NYlbfkN0Be_sl0Zhaa_3MMHf9y-pC0EvmLefId2OGoeYwe1YN_y3og8_Ml1cO8UZu2cOkOaC4XVO_Gq6yFGfN9eAGaAzm9-Ldnf5p4J35zzx7sA--LvNJTiS45oV_egD7gWhZDnMNAR0ZVBdZSpm6alauQNv10GSuduZIHaZsqymh6WVXLgOEqh2d83cAp5ZYksfsfsktaOfrNvJ9Kx6zLfmR_pTq__PCNmAIVSm5VbtpeQowWr5wX0KIdxJlKz83zaLGP3fMy2zLvAbrHopLIDvjFbdQx3jKrzaoK9vwpMAGl2zCslmyddOMaiNbCMVgMY-Xrk_YbEvEsifTsVexSB8971NULHlnrT4QLgX2MufPY9S7HfPHW3vTu3IkooZTDLArpHmkCLZeN4U9NQEskmyBthPJRIIizpLTFcQP8gEoA4HvFxi_hPmOShgPMlrqXsDN3sK4AqGX6odV7Tgissdmym6ctkqRf7iYqsaykBMtvdUrUSqfqJkUtCnm6VsLSKdMjcgA=&p=12&fvj=1&vjs=3"
"135","AI/ML Health Data Scientist – Senior Consultant","Guidehouse","Atlanta, GA 30309 (Midtown area)","/rc/clk?jk=0122954b1f0e8a92&fccid=b8fdf400786b78b1&vjs=3"
"136","Senior Data Analyst (Information Technology)","Atlanta Public Schools","Atlanta, GA","/rc/clk?jk=b5e6d8397de13941&fccid=7cc9cddddb564bb9&vjs=3"
"137","Manager of Data Science","Calendly","Atlanta, GA","/rc/clk?jk=dfde29fa020ad451&fccid=88e1dcd0cd0bffc1&vjs=3"
"138","Mathematical Statistician","Centers for Disease Control and Prevention","Atlanta, GA 30329","/rc/clk?jk=b963bad8bc353620&fccid=3e901f592b439cea&vjs=3"
"139","Senior Specialist, Federal Data Scientist","KPMG","Atlanta, GA 30308 (Downtown area)","/rc/clk?jk=834f87468b85e539&fccid=2dd390c3a48a7ed0&vjs=3"
"140","Senior Data Analyst - Capacity Management","Cisco Systems","Atlanta, GA","/rc/clk?jk=83f569ca8247cd1e&fccid=dfc44f3b8c44a6db&vjs=3"
"141","Senior Data Analyst","Feedzai","Atlanta, GA","/rc/clk?jk=abdd375fd38f4433&fccid=ad93a7e288dc7118&vjs=3"
"142","Artificial Intelligence Manager/Group Manager, Advisory","Avanade","Atlanta, GA","/rc/clk?jk=48b87af4f412f7a2&fccid=5386281035076fdf&vjs=3"
"143","Statistician IV","ORAU","Atlanta, GA 30333","/rc/clk?jk=dec81c4d809c3218&fccid=ff085de14d31bf52&vjs=3"
"144","Data Science Engineer","Material Handling Systems Inc","Peachtree Corners, GA","/rc/clk?jk=493b974341f6d01b&fccid=4808eedb5e0d7c80&vjs=3"
"145","Director Business Development – Advanced Analytics & Data Science","Honeywell","Atlanta, GA 30308 (Midtown area)","/rc/clk?jk=486052ce9d88bd3b&fccid=50208b5bf45ee3b8&vjs=3"
"146","Sr IT Automation & Data Analyst","Honeywell","Atlanta, GA 30308 (Midtown area)","/rc/clk?jk=d9cc61fe67e833ee&fccid=50208b5bf45ee3b8&vjs=3"
"147","Director, Data Science","Bain & Company Inc","Atlanta, GA 30309 (Midtown area)","/rc/clk?jk=03893d630e2e1c72&fccid=48270b2eee62c2c6&vjs=3"
"148","Machine Learning Engineer — Computer Vision","Honeywell","Atlanta, GA","/rc/clk?jk=d3de21c4f464762d&fccid=50208b5bf45ee3b8&vjs=3"
"149","Senior Manager, Online Data Science","Home Depot / THD","Atlanta, GA 30301 (Buckhead area)","/rc/clk?jk=12e12c0c6a356548&fccid=82e58e9861d48566&vjs=3"
"150","Data Scientist (Expert)","Envision LLC","United States","/pagead/clk?mo=r&ad=-6NYlbfkN0A13XXEAKoVsy1UjAxA2tJa37vkRdGHJdX4gYp8IY3tTpc57ra18Z9sYJ3trAbN1b22QpLbGFlF9poYmFXt1JNrHYxLZ_Kbo5ZzRtXnvcSAVBQd4RAoHE4k2jHwTywATPeSP4sAbYHcv3LHSHAzy-eGOBWccrlMNTiRmIGSH6bUoiPIT2KACIroKk4w-hCXtGzf5M6rcXcPyCg3zY_hH6xlNdj8R5YoKZVTfkFoNqnQVgVJWtcz37LyOmcuTHr6pREQQ2QsQy53zfrXmXHeCdIAxQ309MaBTLzuQKA1op1HeE8n70g_AlMNzAFekuPn773qnMQa2_F-O4lKNZbc93t_D7w_kZQH6-fvJxTYLwekfL4pFSYUWSQtb1eCf6beFqdDE6nQFjuleyESdIC72wzNp6i-gssz4YNsZgKJ8GvQ1tCMEjtb8lNu_UtabgbBJgMkVDBKF8g0weg7qAIlGDwJ&p=13&fvj=0&vjs=3"
"151","Senior Manager, Data Science","Aaron's","Atlanta, GA","/rc/clk?jk=351bf3a865a795bb&fccid=9b16649713f63006&vjs=3"
